"Name","Team","AtBat","Hits","Home","Runs","RBI","BB","YrMajor","CrAtBat","CrHits","CrHome","CrRuns","CrRbi","CrBB","League","Division","Position","Outs","Assts","Error","Salary","Div"
"Thompson, Robby","San Francisco",549.00,149.00,7.00,73.00,47.00,42.00,1.00,549.00,149.00,7.00,73.00,47.00,42.00,"National","West","2B",255.00,450.00,17.00,"140","NW"
"Thon, Dickie","Houston",278.00,69.00,3.00,24.00,21.00,29.00,8.00,2079.00,565.00,32.00,258.00,192.00,162.00,"National","West","SS",142.00,210.00,10.00,"","NW"
"Thornton, Andre","Cleveland",401.00,92.00,17.00,49.00,66.00,65.00,13.00,5206.00,1332.00,253.00,784.00,890.00,866.00,"American","East","DH",0.00,0.00,0.00,"1100","AE"
"Tolleson, Wayne","Chicago",475.00,126.00,3.00,61.00,43.00,52.00,6.00,1700.00,433.00,7.00,217.00,93.00,146.00,"American","West","3B",37.00,113.00,7.00,"385","AW"
"Traber, Jim","Baltimore",212.00,54.00,13.00,28.00,44.00,18.00,2.00,233.00,59.00,13.00,31.00,46.00,20.00,"American","East","UT",243.00,23.00,5.00,"","AE"
"Trammell, Alan","Detroit",574.00,159.00,21.00,107.00,75.00,59.00,10.00,4631.00,1300.00,90.00,702.00,504.00,488.00,"American","East","SS",238.00,445.00,22.00,"517.143","AE"
"Trevino, Alex","Los Angeles",202.00,53.00,4.00,31.00,26.00,27.00,9.00,1876.00,467.00,15.00,192.00,186.00,161.00,"National","West","C",304.00,45.00,11.00,"512.5","NW"
"Upshaw, Willie","Toronto",573.00,144.00,9.00,85.00,60.00,78.00,8.00,3198.00,857.00,97.00,470.00,420.00,332.00,"American","East","1B",1314.00,131.00,12.00,"960","AE"
"Uribe, Jose","San Francisco",453.00,101.00,3.00,46.00,43.00,61.00,3.00,948.00,218.00,6.00,96.00,72.00,91.00,"National","West","SS",249.00,444.00,16.00,"195","NW"
"Van Slyke, Andy","St Louis",418.00,113.00,13.00,48.00,61.00,47.00,4.00,1512.00,392.00,41.00,205.00,204.00,203.00,"National","East","RF",211.00,11.00,7.00,"550","NE"
"Virgil, Ozzie","Atlanta",359.00,80.00,15.00,45.00,48.00,63.00,7.00,1493.00,359.00,61.00,176.00,202.00,175.00,"National","West","C",682.00,93.00,13.00,"700","NW"
"Walker, Greg","Chicago",282.00,78.00,13.00,37.00,51.00,29.00,5.00,1649.00,453.00,73.00,211.00,280.00,138.00,"American","West","1B",670.00,57.00,5.00,"500","AW"
"Wallach, Tim","Montreal",480.00,112.00,18.00,50.00,71.00,44.00,7.00,3031.00,771.00,110.00,338.00,406.00,239.00,"National","East","3B",94.00,270.00,16.00,"750","NE"
"Walling, Denny","Houston",382.00,119.00,13.00,54.00,58.00,36.00,12.00,2133.00,594.00,41.00,287.00,294.00,227.00,"National","West","3B",59.00,156.00,9.00,"595","NW"
"Ward, Gary","Texas",380.00,120.00,5.00,54.00,51.00,31.00,8.00,3118.00,900.00,92.00,444.00,419.00,240.00,"American","West","LF",237.00,8.00,1.00,"600","AW"
"Webster, Mitch","Montreal",576.00,167.00,8.00,89.00,49.00,57.00,4.00,822.00,232.00,19.00,132.00,83.00,79.00,"National","East","CF",325.00,12.00,8.00,"210","NE"
"Whitaker, Lou","Detroit",584.00,157.00,20.00,95.00,73.00,63.00,10.00,4704.00,1320.00,93.00,724.00,522.00,576.00,"American","East","2B",276.00,421.00,11.00,"420","AE"
"White, Frank","Kansas City",566.00,154.00,22.00,76.00,84.00,43.00,14.00,6100.00,1583.00,131.00,743.00,693.00,300.00,"American","West","2B",316.00,439.00,10.00,"750","AW"
"Whitt, Ernie","Toronto",395.00,106.00,16.00,48.00,56.00,35.00,10.00,2303.00,571.00,86.00,266.00,323.00,248.00,"American","East","C",709.00,41.00,7.00,"","AE"
"Wiggins, Alan","Baltimore",239.00,60.00,0.00,30.00,11.00,22.00,6.00,1941.00,510.00,4.00,309.00,103.00,207.00,"American","East","2B",121.00,151.00,6.00,"700","AE"
"Wilfong, Rob","California",288.00,63.00,3.00,25.00,33.00,16.00,10.00,2682.00,667.00,38.00,315.00,259.00,204.00,"American","West","2B",135.00,257.00,7.00,"341.667","AW"
"Wilkerson, Curt","Texas",236.00,56.00,0.00,27.00,15.00,11.00,4.00,1115.00,270.00,1.00,116.00,64.00,57.00,"American","West","2S",125.00,199.00,13.00,"230","AW"
"Willard, Jerry","Oakland",161.00,43.00,4.00,17.00,26.00,22.00,3.00,707.00,179.00,21.00,77.00,99.00,76.00,"American","West","C",300.00,12.00,2.00,"","AW"
"Williams, Reggie","Los Angeles",303.00,84.00,4.00,35.00,32.00,23.00,2.00,312.00,87.00,4.00,39.00,32.00,23.00,"National","West","CF",179.00,5.00,3.00,"","NW"
"Wilson, Glenn","Philadelphia",584.00,158.00,15.00,70.00,84.00,42.00,5.00,2358.00,636.00,58.00,265.00,316.00,134.00,"National","East","RF",331.00,20.00,4.00,"662.5","NE"
"Wilson, Mookie","New York",381.00,110.00,9.00,61.00,45.00,32.00,7.00,3015.00,834.00,40.00,451.00,249.00,168.00,"National","East","OF",228.00,7.00,5.00,"800","NE"
"Wilson, Willie","Kansas City",631.00,170.00,9.00,77.00,44.00,31.00,11.00,4908.00,1457.00,30.00,775.00,357.00,249.00,"American","West","CF",408.00,4.00,3.00,"1000","AW"
"Winfield, Dave","New York",565.00,148.00,24.00,90.00,104.00,77.00,14.00,7287.00,2083.00,305.00,1135.00,1234.00,791.00,"American","East","RF",292.00,9.00,5.00,"1861.46","AE"
"Winningham, Herm","Montreal",185.00,40.00,4.00,23.00,11.00,18.00,3.00,524.00,125.00,7.00,58.00,37.00,47.00,"National","East","OF",97.00,2.00,2.00,"90","NE"
"Wynegar, Butch","New York",194.00,40.00,7.00,19.00,29.00,30.00,11.00,4183.00,1069.00,64.00,486.00,493.00,608.00,"American","East","C",325.00,22.00,2.00,"","AE"
"Wynne, Marvell","San Diego",288.00,76.00,7.00,34.00,37.00,15.00,4.00,1644.00,408.00,16.00,198.00,120.00,113.00,"National","West","OF",203.00,3.00,3.00,"240","NW"
"Young, Mike","Baltimore",369.00,93.00,9.00,43.00,42.00,49.00,5.00,1258.00,323.00,54.00,181.00,177.00,157.00,"American","East","LF",149.00,1.00,6.00,"350","AE"
"Youngblood, Joel","San Francisco",184.00,47.00,5.00,20.00,28.00,18.00,11.00,3327.00,890.00,74.00,419.00,382.00,304.00,"National","West","OF",49.00,2.00,0.00,"450","NW"
"Yount, Robin","Milwaukee",522.00,163.00,9.00,82.00,46.00,62.00,13.00,7037.00,2019.00,153.00,1043.00,827.00,535.00,"American","East","CF",352.00,9.00,1.00,"1000","AE"
